,Final Capital,Total Return,Sharpe Ratio,Max Drawdown
TSLA,863.2994482983152,0.0,0.0,0.0
AAPL,5720.08256799573,0.0,0.0,0.0
NVDA,5607.945392256998,0.0,0.0,0.0
MSFT,2466.5742730680695,0.0,0.0,0.0
AMZN,5788.310419840451,0.0,0.0,0.0
GOOGL,4144.962701519102,0.0,0.0,0.0
META,1458.2370047181098,0.0,0.0,0.0
JPM,4627.965409404111,0.0,0.0,0.0
V,5639.3702061912245,0.0,0.0,0.0
UNH,921.3112326076943,0.0,0.0,0.0
DIS,13407.903487539716,0.0,0.0,0.0
INTC,38334.40725686153,0.0,0.0,0.0
NFLX,1528.0978706508313,0.0,0.0,0.0
AMD,5848.5222815677735,0.0,0.0,0.0
BA,3643.0104474803584,0.0,0.0,0.0
